Vendor,Library,No,ID,Formula,MW,Smile,Conc_mM,Solvent,Plate_ID,Plate_well
Enamine,UC-204426,68,Z1267879995,C9H8N2O2S,208.237,Cc1ncsc1c2c[nH]cc2C(=O)O,100,DMSO,1233977-Y25-04,D07
Enamine,UC-204426,69,Z89283343,C9H18ClNO2S,203.302,Cl.O=S1(=O)CCC(C1)NC2CCCC2,100,DMSO,1233977-Y25-04,E07
Enamine,UC-204426,70,Z1218936082,C9H12N2O2,180.204,Cc1nc(C(=O)O)c2CCCCn12,100,DMSO,1233977-Y25-04,F07
Enamine,UC-204426,71,Z851809480,C7H11N3,137.182,CN(C)c1cc(N)ccn1,100,DMSO,1233977-Y25-04,G07
Enamine,UC-204426,72,Z1836229589,C7H14O3,146.184,COC1(CO)CCOCC1,100,DMSO,1233977-Y25-04,H07
Enamine,UC-204426,73,Z1413746500,C10H10N2O,174.199,Cc1ccc(cc1)n2cc[nH]c2=O,100,DMSO,1233977-Y25-04,I07
Enamine,UC-204426,74,Z32368020,C10H12N2O3S,240.279,NS(=O)(=O)c1cccc(c1)C(=O)NC2CC2,100,DMSO,1233977-Y25-04,J07
Enamine,UC-204426,75,Z235348047,C6H4F3NO,163.097,Oc1ncccc1C(F)(F)F,100,DMSO,1233977-Y25-04,K07
Enamine,UC-204426,76,Z979762138,C10H20N2O,184.279,C(C1CCOCC1)N2CCNCC2,100,DMSO,1233977-Y25-04,L07
Enamine,UC-204426,77,Z1238511500,C5H5ClN2O2S,192.623,NS(=O)(=O)c1cncc(Cl)c1,100,DMSO,1233977-Y25-04,M07
Enamine,UC-204426,78,Z2026104781,C8H8O3,152.147,OC(=O)c1occc1C2CC2,100,DMSO,1233977-Y25-04,N07
Enamine,UC-204426,79,Z1509218108,C6H5N3OS,167.188,Cc1nsc2nc[nH]c(=O)c12,100,DMSO,1233977-Y25-04,O07
Enamine,UC-204426,80,Z415686022,C8H18N2O,158.241,COC1CCN(CCN)CC1,100,DMSO,1233977-Y25-04,P07
Enamine,UC-204426,81,Z992240004,C12H13N3,199.252,CC(N)c1ccc(cc1)c2cncnc2,100,DMSO,1233977-Y25-04,A08
Enamine,UC-204426,82,Z513807302,C12H12FN3,217.242,CNC(c1ccc(F)cc1)c2ncccn2,100,DMSO,1233977-Y25-04,B08
Enamine,UC-204426,83,Z335439046,C9H7FN2O,178.163,Nc1cc(no1)c2ccccc2F,100,DMSO,1233977-Y25-04,C08
Enamine,UC-204426,84,Z147280220,C11H12FN3,205.231,Cn1ccnc1C(N)c2ccccc2F,100,DMSO,1233977-Y25-04,D08
Enamine,UC-204426,85,Z359301060,C12H11FN2,202.228,Fc1ccccc1CNc2ccncc2,100,DMSO,1233977-Y25-04,E08
Enamine,UC-204426,86,Z802540802,C6H7F3N2O,180.128,CCN1N=C(CC1=O)C(F)(F)F,100,DMSO,1233977-Y25-04,F08
Enamine,UC-204426,87,Z1198184701,C12H17NO,191.269,C(Cc1ccccc1)C2CNCCO2,100,DMSO,1233977-Y25-04,G08
Enamine,UC-204426,88,Z1470248405,C8H11N5,177.206,Cn1cc(cn1)c2cc(N)n(C)n2,100,DMSO,1233977-Y25-04,H08
Enamine,UC-204426,89,Z969560024,C11H13ClFN3,205.231,Cl.Cc1nn(cc1CN)c2ccc(F)cc2,100,DMSO,1233977-Y25-04,I08
Enamine,UC-204426,90,Z431555038,C7H16N2O,144.215,CC1COCCN1CCN,100,DMSO,1233977-Y25-04,J08
Enamine,UC-204426,91,Z45415655,C7H6F3NO2S,225.188,NS(=O)(=O)c1ccc(cc1)C(F)(F)F,100,DMSO,1233977-Y25-04,K08
Enamine,UC-204426,92,Z362837084,C10H16N2S,196.312,NC1CCN(Cc2cccs2)CC1,100,DMSO,1233977-Y25-04,L08
Enamine,UC-204426,93,Z335439032,C10H10N2O2,190.199,COc1ccccc1c2cc(N)on2,100,DMSO,1233977-Y25-04,M08
Enamine,UC-204426,94,Z1262398451,C11H13Cl2FN2O,242.677,Cl.Fc1cc(Cl)ccc1C(=O)N2CCNCC2,100,DMSO,1233977-Y25-04,N08
Enamine,UC-204426,95,Z1201619874,C9H10N2O,162.189,CC1Nc2ccccc2NC1=O,100,DMSO,1233977-Y25-04,O08
Enamine,UC-204426,96,Z1124729215,C10H17N3S,211.327,CC(N1CCNCC1)c2ncc(C)s2,100,DMSO,1233977-Y25-04,P08
Enamine,UC-204426,97,Z2048320316,C8H16N2O,156.225,CN1CCC2OCCNC2C1,100,DMSO,1233977-Y25-04,A09
Enamine,UC-204426,98,Z1276751386,C8H10Cl2FN3,165.168,Cl.Cl.NCc1nc2cc(F)ccc2[nH]1,100,DMSO,1233977-Y25-04,B09
Enamine,UC-204426,99,Z2158468705,C10H14N2,162.232,CC1(C)CNC1c2cccnc2,100,DMSO,1233977-Y25-04,C09
Enamine,UC-204426,100,Z1649611706,C8H15NO,141.211,CC1CC(C)(C)CNC1=O,100,DMSO,1233977-Y25-04,D09
Enamine,UC-204426,101,Z2255142757,C9H15N3O,181.235,Cn1ccnc1C2CC(N)CCO2,100,DMSO,1233977-Y25-04,E09
Enamine,UC-204426,102,Z2242032526,C9H11NO2,165.189,Cn1ccc(c1)[C@@H]2C[C@H]2C(=O)O,100,DMSO,1233977-Y25-04,F09
Enamine,UC-204426,103,Z3033679879,C9H16ClN3,165.236,Cl.C(C1CCNCC1)c2ccn[nH]2,100,DMSO,1233977-Y25-04,G09
Enamine,UC-204426,104,Z2293604761,C8H11N3O,165.192,Cn1ncc2C(=O)NCCCc21,100,DMSO,1233977-Y25-04,H09
Enamine,UC-204426,105,Z1295559787,C8H17NO,143.227,NCC1(CCO)CCCC1,100,DMSO,1233977-Y25-04,I09
Enamine,UC-204426,106,Z332382594,C7H15NO2,145.2,OCCOC1CCNCC1,100,DMSO,1233977-Y25-04,J09
Enamine,UC-204426,107,Z4473468427,C7H12O3,144.168,CC[C@@H]1CC[C@@H](O1)C(=O)O,100,DMSO,1233977-Y25-04,K09
Enamine,UC-204426,108,Z2130642849,C11H12ClFN2,190.217,Cl.Fc1cc(C#N)ccc1CNC2CC2,100,DMSO,1233977-Y25-04,L09
Enamine,UC-204426,109,Z997725000,C10H13FN2O,196.221,Fc1cccnc1OC2CCCNC2,100,DMSO,1233977-Y25-04,M09
Enamine,UC-204426,110,Z1201620066,C8H9FO2,156.154,COc1cc(CO)ccc1F,100,DMSO,1233977-Y25-04,N09
Enamine,UC-204426,111,Z1224531582,C6H13NO2S,163.238,CC1NCCS(=O)(=O)C1C,100,DMSO,1233977-Y25-04,O09
Enamine,UC-204426,112,Z1216829004,C8H10N2O2,166.177,OC(=O)C1CCCc2[nH]cnc12,100,DMSO,1233977-Y25-04,P09
Enamine,UC-204426,113,Z851110644,C6H8N2OS,156.206,CNC(=O)c1cnc(C)s1,100,DMSO,1233977-Y25-04,A10
Enamine,UC-204426,114,Z1250068875,C7H12F3NO2S,231.236,NS(=O)(=O)C1CCC(CC1)C(F)(F)F,100,DMSO,1233977-Y25-04,B10
Enamine,UC-204426,115,Z1138834352,C10H17N3O,195.261,Cc1cc(C)n(CC2CNCCO2)n1,100,DMSO,1233977-Y25-04,C10
Enamine,UC-204426,116,Z513827110,C12H19N3,205.299,CNC1CCN(Cc2ccncc2)CC1,100,DMSO,1233977-Y25-04,D10
Enamine,UC-204426,117,Z360168628,C9H14N2O,166.22,Nc1cc(CC2CCCC2)no1,100,DMSO,1233977-Y25-04,E10
Enamine,UC-204426,118,Z381402570,C7H11N3,137.182,CC(C)c1ncc(N)cn1,100,DMSO,1233977-Y25-04,F10
Enamine,UC-204426,119,Z1993523112,C10H13ClFNO,181.207,Cl.OC1CNC(C1)c2cccc(F)c2,100,DMSO,1233977-Y25-04,G10
Enamine,UC-204426,120,Z52214341,C11H11FN2O2,222.216,NC(=O)C1CN(C(=O)C1)c2ccccc2F,100,DMSO,1233977-Y25-04,H10
