Vendor,Library,No,ID,Formula,MW,Smile,Conc_mM,Solvent,Plate_ID,Plate_well
PrestWick,DrugFragCoreSet,174,Prestw-Frag-1189,C8H8F3N,175.15486,Cc1c(N)cccc1C(F)(F)F,100,DMSO,PwDF-CoreS-01,H17
PrestWick,DrugFragCoreSet,175,Prestw-Frag-1191,C12H10N2O2,214.2257,OC(=O)c1cccnc1Nc2ccccc2,100,DMSO,PwDF-CoreS-01,I17
PrestWick,DrugFragCoreSet,176,Prestw-Frag-1204,C9H15N5,193.2534,CN1CCN(CC1)c2nccc(N)n2,100,DMSO,PwDF-CoreS-01,J17
PrestWick,DrugFragCoreSet,177,Prestw-Frag-1214,C7H9NO2S,171.21928,CS(=O)(=O)c1ccc(N)cc1,100,DMSO,PwDF-CoreS-01,K17
PrestWick,DrugFragCoreSet,178,Prestw-Frag-3759,C9H8N2,144.17751,c1ccc(cc1)n2cccn2,100,DMSO,PwDF-CoreS-01,L17
PrestWick,DrugFragCoreSet,179,Prestw-Frag-1236,C11H12O2,176.21709,COc1cccc2C(=O)CCCc12,100,DMSO,PwDF-CoreS-01,M17
PrestWick,DrugFragCoreSet,180,Prestw-Frag-1237,C12H8F2O,206.19376,Oc1ccc(cc1)c2ccc(F)cc2F,100,DMSO,PwDF-CoreS-01,N17
PrestWick,DrugFragCoreSet,181,Prestw-Frag-1238,C13H8F2O2,234.20431,OC(=O)c1cccc(c1)c2ccc(F)cc2F,100,DMSO,PwDF-CoreS-01,C18
PrestWick,DrugFragCoreSet,182,Prestw-Frag-1240,C13H10O3,214.22285,OC(=O)c1cc(ccc1O)c2ccccc2,100,DMSO,PwDF-CoreS-01,D18
PrestWick,DrugFragCoreSet,191,Prestw-Frag-1322,C7H6F3N,161.12777,Nc1cccc(c1)C(F)(F)F,100,DMSO,PwDF-CoreS-01,M18
PrestWick,DrugFragCoreSet,192,Prestw-Frag-1325,C18H22N2,266.38944,CN1CCN(CC1)C(c2ccccc2)c3ccccc3,100,DMSO,PwDF-CoreS-01,N18
PrestWick,DrugFragCoreSet,193,Prestw-Frag-1337,C9H12O3,168.19419,OCC(O)COc1ccccc1,100,DMSO,PwDF-CoreS-01,C19
PrestWick,DrugFragCoreSet,194,Prestw-Frag-1346,C12H10ClNO,219.6726,OC(c1ccc(Cl)cc1)c2ccccn2,100,DMSO,PwDF-CoreS-01,D19
PrestWick,DrugFragCoreSet,195,Prestw-Frag-1348,C16H14O3,254.28818,CCOC(=O)C1c2ccccc2Oc3ccccc13,100,DMSO,PwDF-CoreS-01,E19
PrestWick,DrugFragCoreSet,198,Prestw-Frag-1368,C10H11FO,166.19697,CCCC(=O)c1ccc(F)cc1,100,DMSO,PwDF-CoreS-01,H19
PrestWick,DrugFragCoreSet,210,Prestw-Frag-1475,C12H12N2,184.24284,C(Nc1ccccn1)c2ccccc2,100,DMSO,PwDF-CoreS-01,H20
PrestWick,DrugFragCoreSet,214,Prestw-Frag-1495,C5H4N2O2,124.09983,OC(=O)c1cnccn1,100,DMSO,PwDF-CoreS-01,L20
PrestWick,DrugFragCoreSet,215,Prestw-Frag-1499,C12H13NO5,251.24111,OC(=O)CC[C@H](NC(=O)c1ccccc1)C(=O)O,100,DMSO,PwDF-CoreS-01,M20
PrestWick,DrugFragCoreSet,226,Prestw-Frag-1632,C14H21N3O,247.34297,CCN1CCCC1CNC(=O)c2ccc(N)cc2,100,DMSO,PwDF-CoreS-01,L21
PrestWick,DrugFragCoreSet,228,Prestw-Frag-1645,C8H7NO,133.15109,Oc1ccc2[nH]ccc2c1,100,DMSO,PwDF-CoreS-01,N21
PrestWick,DrugFragCoreSet,229,Prestw-Frag-1647,C4H6N2O,98.10522,Cc1onc(N)c1,100,DMSO,PwDF-CoreS-01,C22
PrestWick,DrugFragCoreSet,231,Prestw-Frag-1661,C10H8N2O3,204.18686,NC(=O)CN1C(=O)c2ccccc2C1=O,100,DMSO,PwDF-CoreS-01,E22
PrestWick,DrugFragCoreSet,232,Prestw-Frag-1667,C8H10N2O3S,214.2445,Cc1ccc(cc1)S(=O)(=O)NC(=O)N,100,DMSO,PwDF-CoreS-01,F22
PrestWick,DrugFragCoreSet,236,Prestw-Frag-1731,C10H13NO4,211.21941,COc1cc(cc(OC)c1OC)C(=O)N,100,DMSO,PwDF-CoreS-01,J22
PrestWick,DrugFragCoreSet,239,Prestw-Frag-1741,C17H19ClN2,286.80738,Clc1ccc(cc1)C(N2CCNCC2)c3ccccc3,100,DMSO,PwDF-CoreS-01,M22
PrestWick,DrugFragCoreSet,243,Prestw-Frag-1775,C8H8ClNO2,185.61146,COc1ccc(Cl)cc1C(=O)N,100,DMSO,PwDF-CoreS-02,E03
PrestWick,DrugFragCoreSet,245,Prestw-Frag-1791,C7H8O,108.14121,Cc1cccc(O)c1,100,DMSO,PwDF-CoreS-02,G03
PrestWick,DrugFragCoreSet,250,Prestw-Frag-1832,C12H15ClN2O2,254.71855,Clc1ccc(OCC(=O)N2CCNCC2)cc1,100,DMSO,PwDF-CoreS-02,L03
PrestWick,DrugFragCoreSet,252,Prestw-Frag-1860,C13H10O,182.22405,O=C(c1ccccc1)c2ccccc2,100,DMSO,PwDF-CoreS-02,N03
PrestWick,DrugFragCoreSet,255,Prestw-Frag-1878,C9H8N2,144.17751,Nc1ccnc2ccccc12,100,DMSO,PwDF-CoreS-02,E04
