Vendor,Library,No,ID,Formula,MW,Smile,Conc_mM,Solvent,Plate_ID,Plate_well
PrestWick,DrugFragCoreSet,102,Prestw-Frag-2360,C14H11NO,209.24987,O=C1N(Cc2ccccc12)c3ccccc3,100,DMSO,PwDF-CoreS-01,H11
PrestWick,DrugFragCoreSet,103,Prestw-Frag-2362,C11H13NO3,207.23116,CCC(=O)Nc1ccc(CC(=O)O)cc1,100,DMSO,PwDF-CoreS-01,I11
PrestWick,DrugFragCoreSet,104,Prestw-Frag-2366,C14H13NO,211.26581,NC(=O)C(c1ccccc1)c2ccccc2,100,DMSO,PwDF-CoreS-01,J11
PrestWick,DrugFragCoreSet,107,Prestw-Frag-2487,C11H13NO3,207.23116,CC(=O)N(CCC(=O)O)c1ccccc1,100,DMSO,PwDF-CoreS-01,M11
PrestWick,DrugFragCoreSet,109,Prestw-Frag-2541,C6H5NO2,123.11225,OC(=O)c1ccccn1,100,DMSO,PwDF-CoreS-01,C12
PrestWick,DrugFragCoreSet,110,Prestw-Frag-2569,C14H23N3O,249.35891,COc1ccccc1N2CCN(CCCN)CC2,100,DMSO,PwDF-CoreS-01,D12
PrestWick,DrugFragCoreSet,111,Prestw-Frag-2645,C15H13N3,235.29096,c1ccc(cc1)C(c2ccccc2)n3cncn3,100,DMSO,PwDF-CoreS-01,E12
PrestWick,DrugFragCoreSet,113,Prestw-Frag-2774,C18H27NO2,289.42139,CCN(CC)CCOC(=O)C1(CCCC1)c2ccccc2,100,DMSO,PwDF-CoreS-01,G12
PrestWick,DrugFragCoreSet,114,Prestw-Frag-2806,C13H12N2O2,228.25279,Cc1ccccc1Nc2ncccc2C(=O)O,100,DMSO,PwDF-CoreS-01,H12
PrestWick,DrugFragCoreSet,116,Prestw-Frag-2868,C16H14N2,234.30338,c1ccc(cc1)C(c2ccccc2)n3ccnc3,100,DMSO,PwDF-CoreS-01,J12
PrestWick,DrugFragCoreSet,117,Prestw-Frag-3120,C13H20ClN3O,269.77685,CCN(CC)CCNC(=O)c1ccc(N)c(Cl)c1,100,DMSO,PwDF-CoreS-01,K12
PrestWick,DrugFragCoreSet,118,Prestw-Frag-3257,C16H18N2,238.33526,C1CN(CCN1c2ccccc2)c3ccccc3,100,DMSO,PwDF-CoreS-01,L12
PrestWick,DrugFragCoreSet,119,Prestw-Frag-3334,C14H15F3O,256.27025,FC(F)(F)c1ccc(cc1)C(=O)C2CCCCC2,100,DMSO,PwDF-CoreS-01,M12
PrestWick,DrugFragCoreSet,120,Prestw-Frag-3336,C9H8N2O,160.17691,NC(=O)c1ccc2[nH]ccc2c1,100,DMSO,PwDF-CoreS-01,N12
PrestWick,DrugFragCoreSet,121,Prestw-Frag-3342,C10H15NO,165.23715,COc1ccc(CC(C)N)cc1,100,DMSO,PwDF-CoreS-01,C13
PrestWick,DrugFragCoreSet,122,Prestw-Frag-3360,C8H9N5,175.19443,C1CC1Nc2ncnc3[nH]cnc23,100,DMSO,PwDF-CoreS-01,D13
PrestWick,DrugFragCoreSet,123,Prestw-Frag-3368,C9H13NO2S,199.27346,CNS(=O)(=O)CCc1ccccc1,100,DMSO,PwDF-CoreS-01,E13
PrestWick,DrugFragCoreSet,124,Prestw-Frag-3371,C10H13NO2S,211.28461,COC(=O)CN1CCc2sccc2C1,100,DMSO,PwDF-CoreS-01,F13
PrestWick,DrugFragCoreSet,128,Prestw-Frag-3455,C13H12O,184.23999,Oc1ccc(Cc2ccccc2)cc1,100,DMSO,PwDF-CoreS-01,J13
PrestWick,DrugFragCoreSet,130,Prestw-Frag-3460,C5H10N2O,114.14825,CN1CCNCC1=O,100,DMSO,PwDF-CoreS-01,L13
PrestWick,DrugFragCoreSet,131,Prestw-Frag-3461,C11H11NO2,189.21582,Cn1cc(CC(=O)O)c2ccccc12,100,DMSO,PwDF-CoreS-01,M13
PrestWick,DrugFragCoreSet,132,Prestw-Frag-3692,C15H21FN2O,264.34582,CN1CCN(CCCC(=O)c2ccc(F)cc2)CC1,100,DMSO,PwDF-CoreS-01,N13
PrestWick,DrugFragCoreSet,134,Prestw-Frag-3703,C8H6O3,150.13522,Oc1ccc2C(=O)COc2c1,100,DMSO,PwDF-CoreS-01,D14
PrestWick,DrugFragCoreSet,135,Prestw-Frag-3704,C10H12BrNO3,274.11604,CNC(=O)c1c(OC)ccc(Br)c1OC,100,DMSO,PwDF-CoreS-01,E14
PrestWick,DrugFragCoreSet,136,Prestw-Frag-0674,C18H29NO2,291.43733,CC(C)(C)NCC(O)COc1ccccc1C2CCCC2,100,DMSO,PwDF-CoreS-01,F14
PrestWick,DrugFragCoreSet,137,Prestw-Frag-1000,C9H6O2,146.14697,O=C1Oc2ccccc2C=C1,100,DMSO,PwDF-CoreS-01,G14
PrestWick,DrugFragCoreSet,140,Prestw-Frag-1031,C10H15N,149.23775,NCCCCc1ccccc1,100,DMSO,PwDF-CoreS-01,J14
PrestWick,DrugFragCoreSet,141,Prestw-Frag-1032,C2H4N4S,116.14498,Cn1nnnc1S,100,DMSO,PwDF-CoreS-01,K14
PrestWick,DrugFragCoreSet,143,Prestw-Frag-1051,C14H22N2O,234.34424,COc1ccc(CCN2CCC(N)CC2)cc1,100,DMSO,PwDF-CoreS-01,M14
PrestWick,DrugFragCoreSet,145,Prestw-Frag-1064,C9H13NO2,167.20946,COc1ccc(CCN)cc1O,100,DMSO,PwDF-CoreS-01,C15
PrestWick,DrugFragCoreSet,152,Prestw-Frag-1110,C9H13N3,163.22406,C1CN(CCN1)c2ccccn2,100,DMSO,PwDF-CoreS-01,J15
PrestWick,DrugFragCoreSet,154,Prestw-Frag-1121,C15H17N,211.30944,CCN(Cc1ccccc1)c2ccccc2,100,DMSO,PwDF-CoreS-01,L15
